Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14
1699022834.904218,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05213977321706476,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.904863,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05226049367063063,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9069293,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.052380972683289374,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9070199,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.0525012107379228,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9093742,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.052621208316446955,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9098082,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.052740965899814064,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.909997,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05286048396801444,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.910893,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.052979763000078416,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9120936,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05309880347407826,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.913212,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05321760586713011,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9141958,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05333617065539586,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9149392,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.05345449831408507,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9159493,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.0535725893174569,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9169455,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.053690444138821986,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9183445,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.053808063250544345,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9190788,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.053925447124043256,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
1699022834.9202418,"[label: ""x""
size: 15
stride: 1]",0,-0.0,-18.0,0.0,0.0,-0.054042596229795174,0.0,0.0,0.0,0.004,0.00625,0.05,1.2,0.002,0.001,0.1
