Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14
1695126969.6946833,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2184971968813794,-0.014012436322439594,0.0,2.034857622064784e-12,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.6953127,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21852971089697248,-0.013642374140827395,0.0,3.19634687828996e-14,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.696614,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2185620623424876,-0.013274162270123258,0.0,5.020809935580203e-16,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.6974943,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21859425203077515,-0.012907791458772641,0.0,7.886669804344705e-18,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7001634,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21862628077062127,-0.012543252501478778,0.0,1.238835195930889e-19,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.700725,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21865814936676814,-0.012180536238971385,0.0,1.9459577752724768e-21,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.700767,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21868985861993429,-0.011819633557776528,0.0,3.0567033254959757e-23,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7012951,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2187214093268346,-0.011460535389987645,0.0,4.801458355790824e-25,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7024229,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21875280228020041,-0.011103232713037708,0.0,7.54211314853489e-27,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.703294,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21878403826879939,-0.010747716549472519,0.0,1.1847123629990097e-28,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7044582,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21881511807745538,-0.010393977966725157,0.0,1.8609418281073463e-30,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7053998,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2188460424870681,-0.010042008076891531,0.0,2.9231605879699995e-32,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7064946,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21887681227463274,-0.009691798036507073,0.0,4.591689914214885e-34,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.707343,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21890742821325956,-0.009343339046324537,0.0,7.212609651029915e-36,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7083976,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21893789107219325,-0.008996622351092914,0.0,1.1329540746443213e-37,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7094958,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21896820161683225,-0.00865163923933745,0.0,1.7796400988786107e-39,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.710352,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21899836060874808,-0.008308381043140764,0.0,2.795452130335428e-41,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.711395,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21902836880570434,-0.00796683913792506,0.0,4.391085938061858e-43,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7124302,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2190582269616758,-0.007627004942235435,0.0,6.897501662148289e-45,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7134514,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2190879358268674,-0.007288869917524258,0.0,1.0834570274964226e-46,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7143207,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21911749614773304,-0.006952425567936637,0.0,1.701890319031498e-48,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7153947,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21914690866699435,-0.006617663440096954,0.0,2.6733230617424713e-50,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7162216,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21917617412365936,-0.006284575122896469,0.0,4.19924604572116e-52,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7174168,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21920529325304106,-0.005953152247281986,0.0,6.596160263926794e-54,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7183728,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21923426678677585,-0.005623386486045576,0.0,1.0361224313526663e-55,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7192767,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21926309545284195,-0.005295269553615349,0.0,1.6275373092785655e-57,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7203145,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21929177997557772,-0.004968793205847272,0.0,2.556529627136421e-59,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.721702,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21932032107569982,-0.004643949239818036,0.0,4.0157873476482165e-61,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7226055,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2193487194703213,-0.004320729493618946,0.0,6.307984014875239e-63,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.723298,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2193769758729697,-0.003999125846150851,0.0,9.90855812004695e-65,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7243824,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21940509099360483,-0.0036791302169200965,0.0,1.5564326698803495e-66,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.72999,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21943306553863678,-0.0033607345658354963,0.0,2.444838720751627e-68,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7299957,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21948859570988885,-0.0027287112385412874,0.0,6.032397749570984e-72,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7304723,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.2195161527313394,-0.002415067682348581,0.0,9.475668226791903e-74,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7314203,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21954357196768268,-0.0021029923439368384,0.0,1.4884344844571834e-75,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7323046,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21957085410784424,-0.0017924773822171544,0.0,2.3380274208601996e-77,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.73343,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21959799983730502,-0.0014835149953060687,0.0,3.672564884632947e-79,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
1695126969.7344737,"[label: ""x""
size: 15
stride: 1]",0,6.0,36.0,0.0,0.0,0.21962500983811847,-0.0011760974203295384,0.0,5.7688514306973565e-81,0.01,0.00625,0.05,1.2,0.005,0.001,0.1
